hozyaistvo,klyuch,region,rejon,vinogorje,gorod,rejon_istochnik,rejon_raznoglasie,raion_knigi,raion_istochnik,gde,vinograd_v_serbii,v_knige,imena,vivino_slug,falstaff_zvezd,vin_v_dannyh
Vinarija Aquila,aquila,Centralna Srbija,Leskovački rejon,Vinaračko vinogorje,Leskovac,mesto,,,ne_ustanovlen,Leskovac,True,False,['Vinarija Aquila'],,,3
Vinarija Aven,aven,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Inđija,mesto,"по месту Sremski rejon, у источников Sremski rejon ×11; Rejon Tri Morave ×2",,ne_ustanovlen,"Inđija, Sremski okrug",True,False,"['Vinarija Aven', 'Aven ID', 'AVEN', 'Aven']",,,6
Vinarija Bada,bada,Centralna Srbija,Rejon Tri Morave,Župsko vinogorje,Aleksandrovac,mesto,,,ne_ustanovlen,"Aleksandrovac, Rasinski okrug",True,False,['Vinarija Bada'],,,2
Vinarija Baza,baza,Vojvodina,Rejon Bačka,,,vivino,,,ne_ustanovlen,,True,False,"['Vinarija Baza', 'Baza']",,,2
Vinarija Bela Kula,bela-kula,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,"['Vinarija Bela Kula', 'Bela kula']",,,4
Vinarija Blagojević,blagojevic,Centralna Srbija,Šumadijski rejon,Oplenačko vinogorje,Копљаре,mesto,,,raspolozhenie,"Копљаре, Аранђеловац",True,False,"['Vinarija Blagojević', 'Vinarija Blagojevic', 'Blagojevic']",,,5
Vinarija Bogunovic,bogunovic,,,,,ne_ustanovlen,,,ne_ustanovlen,Zemun,True,False,['Vinarija Bogunovic'],,,5
Vinarija Boierescu,boierescu,Centralna Srbija,Rejon Negotinska Krajina,Negotinsko vinogorje,Negotin,mesto,,,ne_ustanovlen,"Negotin, Borski okrug",True,False,['Vinarija Boierescu'],,,4
Vinarija Bononia,bononia,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Vinarija Bononia'],,,3
Vinarija Bora,bora,Centralna Srbija,Rejon Tri Morave,Levačko vinogorje,Lepojević,mesto,,,ne_ustanovlen,"Lepojević, Pomoravski okrug",True,False,"['Vinarija Bora', 'Bora']",,,1
Vinarija Botunjac,botunjac,Centralna Srbija,Rejon Tri Morave,Župsko vinogorje,Aleksandrovac,mesto,,,ne_ustanovlen,"Aleksandrovac, Rasinski okrug",True,False,"['Vinarija Botunjac', 'Botunjac']",,,8
Vinarija Brestovački,brestovacki,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Erdevik,mesto,,,ne_ustanovlen,"Erdevik, Sremski okrug",True,False,['Vinarija Brestovački'],,,8
Vinarija Brindza,brindza,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Vinarija Brindza'],,,8
Vinarija Burcel Todorov,burcel-todorov,Vojvodina,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Vinarija Burcel Todorov'],,,2
Vinarija Burma Fruška Gora,burma-fruska-gora,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,,vivino,,fruska,kniga,,True,True,['Vinarija Burma Fruška Gora'],,,6
Vinarija Coka,coka,Vojvodina,Potiski rejon,Severnopotisko vinogorje,Чока,mesto,,banat,raspolozhenie,"Чока, северный Банат",True,False,"['Vinarija Coka', 'VINARIJA ČOKA PLUS', 'VINARIJA ČOKA', 'Vinarija Čoka']",,,43
Vinarija Dajic,dajic,Centralna Srbija,Rejon Negotinska Krajina,Mihajlovačko vinogorje,Mihajlovac,mesto,,,ne_ustanovlen,"Mihajlovac, Borski okrug",True,False,['Vinarija Dajic'],,,7
Vinarija DeLena,delena,Centralna Srbija,Šumadijski rejon,Oplenačko vinogorje,Topola,mesto,,,ne_ustanovlen,"Topola, Šumadijski okrug",True,False,"['Vinarija DeLena', 'Vinarija Delena', 'De Lena', 'DeLena']",,,7
Vinarija Dosen,dosen,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Sremski Karlovci,mesto,,,ne_ustanovlen,Sremski Karlovci,True,False,['Vinarija Dosen'],,,3
Vinarija Drašković,draskovic,Vojvodina,Južnobanatski rejon,Vršačko vinogorje,Вршац,mesto,,banat,kniga,"Вршац. Внимание: vino.rs пишет, что Vršački vinogradi сменили владельца и переименованы в Vinarija Drašković. В книге это два разных хозяйства в одной главе — стоит проверить.",True,True,"['Vinarija Drašković', 'Drašković']",,,12
Vinarija Dumo,dumo,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Rakovac,mesto,,,ne_ustanovlen,"Rakovac, Beočin, Južno-bački okrug",True,False,"['Vinarija Dumo', 'Dumo']",,,3
Vinarija Fleur D'Oranger,fleur-doranger,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Novi Sad,mesto,,,ne_ustanovlen,"Novi Sad, Južnobački okrug",True,False,"[""Vinarija Fleur D'Oranger"", ""Fleur D'oranger"", ""Fleur d'Oranger""]",,,5
Vinarija Frug,frug,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Sremski Karlovci,mesto,,,ne_ustanovlen,"Sremski Karlovci, Južnobački okrug",True,False,"['Vinarija Frug', 'FRUG', 'Frug']",,,9
Vinarija Gamanović,gamanovic,Centralna Srbija,Rejon Negotinska Krajina,,Kladovo,decanter+vivino,,,ne_ustanovlen,Kladovo,True,False,"['Vinarija Gamanović', 'D.O.O.""Gaman"" , Winery Gamanovic', 'Vinarija Gamanovič', 'Gamanovic Winery', 'Winery Gamanovic', 'Gamanovic', 'Gamanović']",,,8
Vinarija Gnezdo,gnezdo,Vojvodina,Banatski rejon,,Bečej,konkurs,"виноградник по конкурсам Banatski rejon ×3, дом по месту Potiski rejon",,ne_ustanovlen,"Bečej, Južnobački okrug",True,False,"['Vinarija Gnezdo', 'Salaš Gnezdo Doo Bečej', 'Salaš Gnezdo doo', 'Gnezdo']",,,3
Vinarija Grumen,grumen,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Novi Sad,mesto,,,ne_ustanovlen,"Novi Sad, Južnobački okrug",True,False,"['Vinarija Grumen', 'Grumen Cellar', 'Grumen']",,,8
Vinarija Gvožđan,gvozdan,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Vinarija Gvožđan'],,,1
Vinarija Ilić-Nijemčević,ilic-nijemcevic,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Шид,mesto,,,raspolozhenie,"Бикић До, Шид",True,False,"['Vinarija Ilić-Nijemčević', 'Vinarija Ilic Nijemcevic', 'Ilic Nijemcevic winery', 'Ilic Nijemcevic', 'Ilić Nijemčević', 'Ilić-Nijemčević']",,,11
Vinarija Imperator,imperator,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Rakovac,decanter+vivino,,,ne_ustanovlen,"Rakovac, Fruška gora, Južno-bački okrug",True,False,"['Vinarija Imperator', 'Imperator Vino', 'Imperator']",,,27
Vinarija Janucic,janucic,Centralna Srbija,Rejon Negotinska Krajina,Rogljevačko-rajačko vinogorje,Veljkovo,mesto,,,ne_ustanovlen,"Veljkovo, Borski okrug",True,False,"['Vinarija Janucic', 'Janucic']",,,4
Vinarija KM,km,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Novi Sad,mesto,,,ne_ustanovlen,"Novi Sad, Južno-bački okrug",True,False,"['Vinarija KM', 'KM winery']",,,5
Vinarija Komazec,komazec,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Inđija,mesto,,,ne_ustanovlen,"Inđija, Sremski okrug",True,False,['Vinarija Komazec'],,,9
Vinarija Komuna PR,komuna,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Rivica,mesto,,,ne_ustanovlen,"Rivica, Sremski okrug",True,False,"['Vinarija Komuna PR', 'Komuna Vinarija', 'Vinarija Komuna', 'Komuna']",,,11
Vinarija Krajina Rajac,krajina-rajac,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Vinarija Krajina Rajac'],,,3
Vinarija Kurjak,kurjak,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Sremski Karlovci,mesto,,,ne_ustanovlen,Sremski Karlovci,True,False,['Vinarija Kurjak'],,,6
Vinarija Lalić,lalic,Vojvodina,Južnobanatski rejon,,,mesto,,,ne_ustanovlen,"Novi Kozjak, Južnobanatski okrug",True,False,['Vinarija Lalić'],,,3
Vinarija Levač,levac,Centralna Srbija,Rejon Tri Morave,Levačko vinogorje,Rekovac,mesto,,,ne_ustanovlen,"Rekovac, Pomoravski okrug",True,False,['Vinarija Levač'],,,8
Vinarija MK Kosović,mk-kosovic,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Sremski Karlovci,mesto,,,ne_ustanovlen,"Sremski Karlovci, Južnobački okrug",True,False,['Vinarija MK Kosović'],,,10
Vinarija Mihailović,mihailovic,Centralna Srbija,Šumadijski rejon,,,mesto,,,ne_ustanovlen,"Krćevac, Šumadijski okrug",True,False,['Vinarija Mihailović'],,,1
Vinarija Milićević,milicevic,Centralna Srbija,Beogradski rejon,Avalsko-kosmajsko vinogorje,Sopot,mesto,,,ne_ustanovlen,Sopot,True,False,"['Vinarija Milićević', 'Vir Sistem doo / Vinarija Milicevic', 'Vinarija Milicevic']",,,3
Vinarija Milojević,milojevic,Centralna Srbija,Beogradski rejon,Lazarevačko vinogorje,Lazarevac,mesto,,,ne_ustanovlen,Lazarevac,True,False,"['Vinarija Milojević', 'Подрум Милојевић']",,,6
Vinarija Milovanovic,milovanovic,Centralna Srbija,Rejon Tri Morave,Župsko vinogorje,Gornja Zleginja,mesto,,,ne_ustanovlen,"Gornja Zleginja, Rasinski okrug",True,False,['Vinarija Milovanovic'],,,4
Vinarija Mira,mira,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Vrdnik,mesto,,,ne_ustanovlen,"Vrdnik, Sremski okrug",True,False,['Vinarija Mira'],,,0
Vinarija Mišić,misic,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Vinarija Mišić'],,,3
Vinarija Mozaik Milan,mozaik-milan,Centralna Srbija,Rejon Tri Morave,,,vivino,,,ne_ustanovlen,,True,False,['Vinarija Mozaik Milan'],,,2
Vinarija Mrdjanin,mrdanin,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Sremski Karlovci,mesto,"по месту Sremski rejon, у источников Rejon Bačka ×10; Sremski rejon ×1",,ne_ustanovlen,"Sremski Karlovci, Južno-bački okrug",True,False,"['Vinarija Mrdjanin', 'Vinarija Mrđanin']",,,10
Vinarija Necak,necak,Centralna Srbija,Mlavski rejon,Požarevačko vinogorje,Petrovac,mesto,,,ne_ustanovlen,"Petrovac, Braničevski okrug",True,False,['Vinarija Necak'],,,1
Vinarija Nedin,nedin,Vojvodina,Južnobanatski rejon,Vršačko vinogorje,Gudurica,mesto,"по месту Južnobanatski rejon, у источников Banatski rejon ×1",,ne_ustanovlen,Gudurica,True,False,['Vinarija Nedin'],,,3
Vinarija Novak (Новак),novak,Centralna Srbija,Rejon Negotinska Krajina,,,vivino,,,ne_ustanovlen,,True,False,['Vinarija Novak (Новак)'],,,2
Vinarija Okrug,okrug,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Vinarija Okrug'],,,3
Vinarija PIRG,pirg,Centralna Srbija,Šumadijski rejon,Oplenačko vinogorje,,decanter,,,ne_ustanovlen,,True,False,"['Vinarija PIRG', 'Vinarija Pirg Donja Šatornja ogranak Tref line d.o.o. Beograd', 'Tref Line']",,,6
Vinarija Panjković,panjkovic,Centralna Srbija,Beogradski rejon,Smederevsko vinogorje,Smederevo,mesto,,,ne_ustanovlen,"Smederevo, Beogradski okrug",True,False,['Vinarija Panjković'],,,3
Vinarija Pantić,pantic,Centralna Srbija,Beogradski rejon,,Mladenovac,mesto,,,ne_ustanovlen,"Mladenovac, Beogradski okrug",True,False,['Vinarija Pantić'],,,5
Vinarija Patkov vinograd,patkov-vinograd,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Krčedin,mesto,,,ne_ustanovlen,"Krčedin, Sremski okrug",True,False,"['Vinarija Patkov vinograd', 'Patkov Vinograd', 'Patkov vinograd']",,,5
Vinarija Pet Hrastova,pet-hrastova,Centralna Srbija,Rejon Tri Morave,,Vrnjačka Banja,mesto,,,ne_ustanovlen,Vrnjačka Banja,True,False,"['Vinarija Pet Hrastova', 'Pet Hrastova']",,,2
Vinarija Petra,petra,Vojvodina,Subotički rejon,Palićko vinogorje,Palić,mesto,,subotica,kniga,"Palić, Severno-bački okrug",True,True,['Vinarija Petra'],,,10
Vinarija Piano,piano,Centralna Srbija,Rejon Tri Morave,Jagodinsko vinogorje,Jagodina,mesto,,,ne_ustanovlen,"Jagodina, Pomoravski okrug",True,False,['Vinarija Piano'],,,14
Vinarija Podrum Danguba,danguba,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Šid,mesto,,,ne_ustanovlen,"Šid, Sremski okrug",True,False,"['Vinarija Podrum Danguba', 'PODRUM DANGUBA', 'Podrum Danguba', 'Danguba']",,,4
Vinarija Porta,porta,Centralna Srbija,Rejon Negotinska Krajina,,,vivino,,,ne_ustanovlen,,True,False,['Vinarija Porta'],,,2
Vinarija Praška,praska,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Bačka Palanka,mesto,,,ne_ustanovlen,"Bačka Palanka, Južnobački okrug",True,False,"['Vinarija Praška', 'Praška']",,,1
Vinarija Radlović doo,radlovic,Vojvodina,Banatski rejon,,Мокрин,mesto,,banat,raspolozhenie,"Мокрин, Кикинда",True,False,"['Vinarija Radlović doo', 'Vinarija Radlovic DOO Mokrin', 'Vinarija Radlovic doo', 'Vinarija Radlovic', 'Vinarija Radlović', 'Radlović vinery', 'Winery Radlović', 'Radlovic']",,,4
Vinarija Radovan,radovan,Centralna Srbija,Rejon Tri Morave,Kruševačko vinogorje,,mesto,,morave,kniga,Старци; на Vivino и у Decanter — под прежним именем Čokot,True,True,"['Vinarija Radovan', 'Vinarija Čokot', 'Podrum Cokot', 'Podrum Čokot', 'Podrum čOkot', 'Čokot']",,,5
Vinarija Rajić,rajic,Centralna Srbija,Rejon Tri Morave,Paraćinsko vinogorje,Glavica,mesto,"по месту Rejon Tri Morave, у источников Južnobanatski rejon ×1",,ne_ustanovlen,"Glavica, Pomoravski okrug",True,False,"['Vinarija Rajić', 'Rajić']",,,4
Vinarija Rudež,rudez,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Vinarija Rudež'],,,1
Vinarija S. Milošević,s-milosevic,Centralna Srbija,Čačansko–kraljevački rejon,Jeličko vinogorje,Riđage,mesto,,,ne_ustanovlen,"Riđage, Moravički okrug",True,False,['Vinarija S. Milošević'],,,3
Vinarija Salaš Naš,salas-nas,Vojvodina,Subotički rejon,Horgoško vinogorje,Horgoš,mesto,,,ne_ustanovlen,"Horgoš, Severno-banatski okrug",True,False,['Vinarija Salaš Naš'],,,4
Vinarija Savic,savic,Centralna Srbija,Nišavski rejon,,,bolshinstvo,Nišavski rejon ×4; Šumadijski rejon ×1; виногорје Oplenačko vinogorje — не из этого рејона,,ne_ustanovlen,,True,False,['Vinarija Savic'],,,8
Vinarija Selecta,selecta,Vojvodina,Južnobanatski rejon,Vršačko vinogorje,Gudurica,mesto,,,ne_ustanovlen,"Gudurica, Južno-banatski okrug",True,False,['Vinarija Selecta'],,,9
Vinarija Sinjac,sinjac,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Vinarija Sinjac'],,,5
Vinarija Slatina,slatina,Centralna Srbija,Rejon Tri Morave,Župsko vinogorje,Lesenovci,mesto,,,ne_ustanovlen,"Lesenovci, Rasinski okrug",True,False,"['Vinarija Slatina', 'Slatina']",,,0
Vinarija Smiljković 90,smiljkovic-90,Centralna Srbija,Rejon Tri Morave,Župsko vinogorje,Aleksandrovac,mesto,,,ne_ustanovlen,"Aleksandrovac, Rasinski okrug",True,False,['Vinarija Smiljković 90'],,,3
Vinarija Sokolov Zamak,sokolov-zamak,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Beška,mesto,,,ne_ustanovlen,"Beška, Sremski okrug",True,False,"['Vinarija Sokolov Zamak', 'Sokolov Zamak']",,,12
Vinarija Sočanski,socanski,Vojvodina,Južnobanatski rejon,Vršačko vinogorje,Veliko Središte,mesto,"по месту Južnobanatski rejon, у источников Banatski rejon ×1",,ne_ustanovlen,"Veliko Središte, Južnobanatski okrug",True,False,"['Vinarija Sočanski', 'Vinarija Socanski']",,,10
Vinarija Tana,tana,Centralna Srbija,Rejon Negotinska Krajina,Rogljevačko-rajačko vinogorje,Tamnič,mesto,,,ne_ustanovlen,"Tamnič, Borski okrug",True,False,['Vinarija Tana'],,,1
Vinarija Tanasković,tanaskovic,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Krušedol Prnjavor,mesto,,,ne_ustanovlen,"Krušedol Prnjavor, Sremski okrug",True,False,['Vinarija Tanasković'],,,1
Vinarija Tasa,tasa,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Vinarija Tasa'],,,0
Vinarija Teodos,teodos,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Сурдук,mesto,,,raspolozhenie,"Сурдук, Стара Пазова",True,False,['Vinarija Teodos'],,,0
Vinarija Timacvm Minvs,timacvm-minvs,Centralna Srbija,Rejon Negotinska Krajina,,Bor,mesto,,,ne_ustanovlen,"Bor, Borski okrug",True,False,['Vinarija Timacvm Minvs'],,,1
Vinarija Timahus,timahus,Centralna Srbija,Rejon Negotinska Krajina,,,vivino,,,ne_ustanovlen,,True,False,['Vinarija Timahus'],,,1
Vinarija Todorović,todorovic,Centralna Srbija,Knjaževački rejon,,,bolshinstvo,Knjaževački rejon ×11; Rejon Negotinska Krajina ×1; Mlavski rejon ×1,,ne_ustanovlen,,True,False,"['Vinarija Todorović', 'Maison Alexandre & Solene', 'VINARIJA TODOROVIC', 'Vinarija Todorovic', 'Podrum Todorović']",,,13
Vinarija Tomić - Rošci,tomic-rosci,Centralna Srbija,Čačansko–kraljevački rejon,,,mesto,,,ne_ustanovlen,"Rošci, Moravički okrug",True,False,['Vinarija Tomić - Rošci'],,,1
Vinarija Tri Tachke,tri-tachke,Vojvodina,Južnobanatski rejon,,Гудурица,mesto,,,raspolozhenie,"Гудурица, Алибунар",True,False,['Vinarija Tri Tachke'],,,0
Vinarija Unikat,unikat,Centralna Srbija,Mlavski rejon,Požarevačko vinogorje,Požarevac,mesto,"по месту Mlavski rejon, у источников Sremski rejon ×1; Mlavski rejon ×1",,ne_ustanovlen,"Požarevac, Braničevski okrug",True,False,['Vinarija Unikat'],,,2
Vinarija VRT,vrt,Vojvodina,Subotički rejon,,Sombor,vinarijesrbije,,,ne_ustanovlen,"Sombor, Zapadnobački okrug",True,False,"['Vinarija VRT', 'Vinarija Radoslav Tripcovic', 'Vinarija Radoslav Tripković', 'Vinarija VRT Riđica', 'VRT vinarija  2011', 'VRT Vinarija', 'VRT vinarija']",,,5
Vinarija Val d'Ov,val-dov,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,"[""Vinarija Val d'Ov""]",,,1
Vinarija Venčac,vencac,Centralna Srbija,Rejon Tri Morave,Jagodinsko vinogorje,,decanter,,,ne_ustanovlen,,True,False,['Vinarija Venčac'],,,0
Vinarija Vilotijević,vilotijevic,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Vinarija Vilotijević'],,,2
Vinarija Vino Grade,grade,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Vinarija Vino Grade'],,,2
Vinarija VinoIlić,vinoilic,Centralna Srbija,Šumadijski rejon,Oplenačko vinogorje,Topola,mesto,,,ne_ustanovlen,"Topola (Varošica), Šumadijski okrug",True,False,['Vinarija VinoIlić'],,,1
Vinarija Vladimir,vladimir,Centralna Srbija,Šumadijski rejon,Oplenačko vinogorje,Topola,mesto,,,ne_ustanovlen,"Topola (Varošica), Šumadijski okrug",True,False,['Vinarija Vladimir'],,,2
Vinarija Vojinović,vojinovic,Centralna Srbija,Beogradski rejon,,Mladenovac,mesto,,,ne_ustanovlen,"Mladenovac, Beogradski okrug",True,False,"['Vinarija Vojinović', 'Vojinovic']",,,6
Vinarija Vojnović,vojnovic,Vojvodina,,,,ne_ustanovlen,,,ne_ustanovlen,"Begeč, Južnobački okrug",True,False,['Vinarija Vojnović'],,,7
Vinarija Vrbica,vrbica,Centralna Srbija,Šumadijski rejon,Oplenačko vinogorje,Aranđelovac,vivino-adres,,,ne_ustanovlen,Aranđelovac,True,False,['Vinarija Vrbica'],,,6
Vinarija Vulovic,vulovic,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Vinarija Vulovic'],,,1
Vinarija Zaba,zaba,Vojvodina,Subotički rejon,Riđičko vinogorje,,decanter,,,ne_ustanovlen,,True,False,['Vinarija Zaba'],,,4
Vinarija Zmajevac,zmajevac,Centralna Srbija,Šumadijski rejon,Oplenačko vinogorje,Lipovac,mesto,,,ne_ustanovlen,"Lipovac, Šumadijski okrug",True,False,"['Vinarija Zmajevac', 'Zmajevac']",,,8
Vinarija Zorča,zorca,Centralna Srbija,Beogradski rejon,Lazarevačko vinogorje,Lazarevac,mesto,,,ne_ustanovlen,"Lazarevac, Beogradski okrug",True,False,"['Vinarija Zorča', 'Zorča']",,,7
Vinarija Ćosić,cosic,Centralna Srbija,Rejon Tri Morave,Župsko vinogorje,Aleksandrovac,mesto,,,ne_ustanovlen,"Aleksandrovac, Rasinski okrug",True,False,['Vinarija Ćosić'],,,6
Vinarija Čolaković,colakovic,Centralna Srbija,Čačansko–kraljevački rejon,Ljubićko vinogorje,Miločaj,mesto,,,ne_ustanovlen,"Miločaj, Raški okrug",True,False,['Vinarija Čolaković'],,,1
Vinarija ĐORĐE,dorde,Vojvodina,Južnobanatski rejon,Vinogorje Deliblatske peščare,Banatski Karlovac,mesto,,,ne_ustanovlen,"Banatski Karlovac, Južnobanatski okrug",True,False,"['Vinarija ĐORĐE', 'Vinarija Đorđe']",,,5
Vinarija Đurđevića Legat,durdevica-legat,Centralna Srbija,Pocersko Valjevski Rejon,Podgorsko vinogorje,Ključ,mesto,"по месту Pocersko Valjevski Rejon, у источников Rejon Tri Morave ×6; Pocersko Valjevski Rejon ×3",,ne_ustanovlen,"Ključ, Kolubarski okrug",True,False,"['Vinarija Đurđevića Legat', 'Đurđevića Legat']",,,8
Vinarija Šveljo,sveljo,Vojvodina,Subotički rejon,Riđičko vinogorje,Riđica,mesto,"по месту Subotički rejon, у источников Sremski rejon ×1",,ne_ustanovlen,"Riđica, Zapadnobački okrug",True,False,"['Vinarija Šveljo', 'Vinarija Sveljo', 'Šveljo']",,,3
Vinarija Ždrnja,zdrnja,Vojvodina,Rejon Bačka,,Temerin,mesto,,,ne_ustanovlen,Temerin,True,False,['Vinarija Ždrnja'],,,0
Vinarija Žir,zir,Centralna Srbija,Šumadijski rejon,Krnjevačko vinogorje,Krnjevo,mesto,,,ne_ustanovlen,Krnjevo,True,False,['Vinarija Žir'],,,1
Vinarium winery,vinarium,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Banoštor,mesto,,,ne_ustanovlen,"Banoštor, Južno-bački okrug",True,False,"['Vinarium winery', 'Vinarium']",,,9
Vinarska Kuća Miljković,vinarska-kuca-miljkovic,Centralna Srbija,Rejon Tri Morave,,,mesto,,,ne_ustanovlen,"Gornje Rataje, Rasinski okrug",True,False,['Vinarska Kuća Miljković'],,,4
Vinartos Vinarija,vinartos,Vojvodina,Potiski rejon,Srednjepotisko vinogorje,Bečej,mesto,,,ne_ustanovlen,"Bečej, Južnobački okrug",True,False,['Vinartos Vinarija'],,,3
Vindulo d.o.o.,vindulo,Vojvodina,Rejon Bačka,,Temerin,mesto,,,ne_ustanovlen,"Temerin, Južno-bački okrug",True,False,"['Vindulo d.o.o.', 'VINDULO', 'Vindulo']",,,6
Vinex Grozd,vinex-grozd,Centralna Srbija,Rejon Tri Morave,Levačko vinogorje,Belušić,mesto,,,ne_ustanovlen,"Belušić, Pomoravski okrug",True,False,['Vinex Grozd'],,,16
Vinik,vinik,Vojvodina,Južnobanatski rejon,Vršačko vinogorje,Vršac,mesto,,,ne_ustanovlen,"Vršac, Južno-banatski okrug",True,False,['Vinik'],,,6
Vinis,vinis,Centralna Srbija,Rejon Tri Morave,Paraćinsko vinogorje,Dobra Voda,mesto,,,ne_ustanovlen,Vivino относит к «Šumadija-Velika Morava»,True,False,"['Vinis', 'Podrum Vinarija Vinis', 'Vinarija Vinis']",,,7
Vinograd Hopovo,vinograd-hopovo,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Irig,mesto,,,ne_ustanovlen,"Irig, Sremski okrug",True,False,['Vinograd Hopovo'],,,2
Vinogradi Nikolic,nikolic,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Vinogradi Nikolic'],,,3
Vinogradi Veličković Vinarija,velickovic,Centralna Srbija,Šumadijski rejon,Oplenačko vinogorje,Aranđelovac,mesto,,morave,kniga,"Aranđelovac, Šumadijski okrug",True,True,"['Vinogradi Veličković Vinarija', 'Vinogradi I Vinarija Veličković', 'Vinogradi i vinarija Velickovic', 'Vinarija Velickovic']",,,3
Vinogradi i vinarija Miletić,i-miletic,Centralna Srbija,Rejon Tri Morave,Levačko vinogorje,Oparić,mesto,,,ne_ustanovlen,"Oparić, Pomoravski okrug",True,False,['Vinogradi i vinarija Miletić'],,,0
Vinokratija,vinokratija,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Vinokratija'],,,3
Vinska Kuća Djordjevic,vinska-kuca-dordevic,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Vinska Kuća Djordjevic'],,,1
Vinska Kuća Milinčić,vinska-kuca-milincic,Centralna Srbija,Rejon Tri Morave,Župsko vinogorje,Aleksandrovac,mesto,,,ne_ustanovlen,"Aleksandrovac, Rasinski okrug",True,False,['Vinska Kuća Milinčić'],,,2
Vinska Kuća Milić - Geci M,vinska-kuca-milic-geci-m,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Vinska Kuća Milić - Geci M'],,,3
Vinska Kuća Rajić,vinska-kuca-rajic,Vojvodina,Južnobanatski rejon,,,mesto,,,ne_ustanovlen,"Bavanište, Južnobanatski okrug",True,False,"['Vinska Kuća Rajić', 'VINKSA KUĆA RAJIĆ', 'VINSKA KUĆA RAJIĆ']",,,4
Vinska Kuća Rakićević,vinska-kuca-rakicevic,Centralna Srbija,Rejon Tri Morave,Župsko vinogorje,Velja Glava,mesto,,,ne_ustanovlen,"Velja Glava, Rasinski okrug",True,False,['Vinska Kuća Rakićević'],,,1
Vinski Dvor,vinski-dvor,Vojvodina,Subotički rejon,,,vivino,,,ne_ustanovlen,"Hajdukovo, Severno-bački okrug",True,False,['Vinski Dvor'],,,15
Vinski Podrum Mirjana,vinski-mirjana,Centralna Srbija,Rejon Negotinska Krajina,Rogljevačko-rajačko vinogorje,Rogljevo,mesto,,,ne_ustanovlen,"Rogljevo, Borski okrug",True,False,['Vinski Podrum Mirjana'],,,4
Vinum,vinum,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Sremski Karlovci,mesto,,fruska,kniga,"Sremski Karlovci, Južno-bački okrug",True,True,"['Vinum', 'Vinum d.o.o. Winery', 'Vinarija Vinum', 'Vinum Winery', 'Winery Vinum', 'Vinum DOO']",,,15
Vinum Lódi,vinum-lodi,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Vinum Lódi'],,,1
Vinčić,vincic,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Šid,mesto,"по месту Sremski rejon, у источников Sremski rejon ×7; Šumadijski rejon ×1",fruska,kniga,"Šid, Sremski okrug",True,True,"['Vinčić', 'Vinarija Vincic', 'Vinarija Vinčić', 'Vincic winery', 'Winery Vincic', 'Vincic']",,4,5
