hozyaistvo,klyuch,region,rejon,vinogorje,gorod,rejon_istochnik,rejon_raznoglasie,raion_knigi,raion_istochnik,gde,vinograd_v_serbii,v_knige,imena,vivino_slug,falstaff_zvezd,vin_v_dannyh
Enellion,enellion,Vojvodina,Rejon Telečka,Zapadnotelečko vinogorje,Vrbas,vivino-adres,,,ne_ustanovlen,Vrbas,True,False,['Enellion'],,,1
Enigma,enigma,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Enigma'],,,3
Erdevik,erdevik,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Erdevik,mesto,,fruska,kniga,"Erdevik, Sremski okrug",True,True,"['Erdevik', 'Vinarija Erdevik', 'Chardonnay']",,,18
Fekete,fekete,Vojvodina,Rejon Bačka,,,vivino,,,ne_ustanovlen,,True,False,['Fekete'],,,1
Fragaria,fragaria,Centralna Srbija,Rejon Tri Morave,Župsko vinogorje,Aleksandrovac,mesto,,morave,kniga,"Aleksandrovac, Rasinski okrug",True,True,"['Fragaria', 'Boutique Vinarija Fragaria', 'Vinarija Fragaria']",,,8
Francuska vinarija,francuska-estelle-et-cyrille-bongiraud,Centralna Srbija,Rejon Negotinska Krajina,Rogljevačko-rajačko vinogorje,Rogljevo,mesto,,negotin,kniga,Rogljevo,True,True,"['Francuska vinarija', 'Francuska Vinarija - Estelle et Cyrille Bongiraud', 'Francuska Vinarija']",,,14
Fruškogorski,fruskogorski,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Banoštor,mesto,,,ne_ustanovlen,"Banoštor, Južno-bački okrug",True,False,"['Fruškogorski', 'FRUŠKOGORSKI VINOGRADI D.O.O.', 'Fruskogorski vinogradi doo', 'Fruškogorski vinogradi DOO', 'Fruskogorski Vinogradi', 'Fruškogorski Vinogradi', 'Fruškogorski vinogradi', 'Tri SuncA']",,,9
Galot,galot,Vojvodina,Južnobanatski rejon,Vinogorje Deliblatske peščare,Banatski Karlovac,mesto,"по месту Južnobanatski rejon, у источников Banatski rejon ×1",banat,kniga,Banatski Karlovac,True,True,['Galot'],,,17
Gardijan,gardijan,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Gardijan'],,,0
Gora,gora,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,,decanter,,,ne_ustanovlen,,True,False,['Gora'],,,0
Grabak,grabak,Centralna Srbija,Rejon Tri Morave,Kruševačko vinogorje,Vrnjačka Banja,mesto,,,ne_ustanovlen,"Vrnjačka Banja, Raški okrug",True,False,"['Grabak', 'Vinarija Grabak']",,,10
HUP MIHAJLOVAC,hup-mihajlovac,Centralna Srbija,Pocersko Valjevski Rejon,Podgorsko vinogorje,Кључ,mesto,,,raspolozhenie,"Кључ, Мионица",True,False,['HUP MIHAJLOVAC'],,,0
Hadži Popović,hadzi-popovic,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Stari Slankamen,mesto,,,ne_ustanovlen,"Stari Slankamen, Sremski okrug",True,False,['Hadži Popović'],,,2
Hrusija d.o.o. Leskovac,hrusija-leskovac,Centralna Srbija,Leskovački rejon,Vinaračko vinogorje,Leskovac,mesto,,,ne_ustanovlen,"Leskovac, Jablanički okrug",True,False,['Hrusija d.o.o. Leskovac'],,,0
In,in,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['In'],,,0
Intuicija,intuicija,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Intuicija'],,,1
Ivanović,ivanovic,Centralna Srbija,Rejon Tri Morave,Župsko vinogorje,Aleksandrovac,mesto,"по месту Rejon Tri Morave, у источников Rejon Tri Morave ×5; Šumadijski rejon ×4",morave,kniga,"Aleksandrovac, Rasinski okrug",True,True,"['Ivanović', 'SZR VINARIJA IVANOVIC', 'Vinarija Ivanovic', 'Vinarija Ivanović', 'Ivanovic']",,,7
Jagodinska,jagodinska,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Jagodinska'],,,2
Janek Wineyard,janek-wineyard,Vojvodina,,,,ne_ustanovlen,рејон один из: Banatski rejon; Južnobanatski rejon,,ne_ustanovlen,,True,False,['Janek Wineyard'],,,1
Janko,janko,Centralna Srbija,Beogradski rejon,Smederevsko vinogorje,Smederevo,mesto,"по месту Beogradski rejon, у источников Beogradski rejon ×27; Pocersko Valjevski Rejon ×1",podunavlje,kniga,"Smederevo, Podunavski okrug",True,True,"['Janko', 'Vinarija Janko', 'Podrum Janko']",,,20
Janovi Vinogradi,janovi,Centralna Srbija,Beogradski rejon,Avalsko-kosmajsko vinogorje,Sopot,mesto,,,ne_ustanovlen,"Sopot, Beogradski okrug",True,False,"['Janovi Vinogradi', 'Janovi vinogradi']",,,1
"Jelena Munizaba PR Radnja za proizvodnju grozdja i vina, turizam i ugostiteljstvo.",jelena-munizaba-radnja-za-proizvodnju-grozda-i-turizam-i-ugostiteljstvo,Vojvodina,Subotički rejon,Riđičko vinogorje,Riđica,mesto,,,ne_ustanovlen,"Riđica, Zapadnobački okrug",True,False,"['Jelena Munizaba PR Radnja za proizvodnju grozdja i vina, turizam i ugostiteljstvo.']",,,0
Jelenac organic,jelenac,Centralna Srbija,Šumadijski rejon,Oplenačko vinogorje,Topola,mesto,,,ne_ustanovlen,"Topola (Varošica), Šumadijski okrug",True,False,['Jelenac organic'],,,0
Jelić,jelic,Centralna Srbija,Rejon Tri Morave,,,vinarijesrbije,,,ne_ustanovlen,,True,False,['Jelić'],,,0
Jeremić,jeremic,Centralna Srbija,Beogradski rejon,Smederevsko vinogorje,Smederevo,mesto,,,ne_ustanovlen,Vivino относит к «Šumadija-Velika Morava»; точное виногорье не установлено,True,False,"['Jeremić', 'Eko Mineral Doo P.J. Vinarija Jeremic', 'Vinarija Jeremic', 'Vinarija Jeremić', 'Winery Jeremic', 'Jeremic']",,,9
Jevremović,jevremovic,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Jevremović'],,,2
Josic Winery,josic,,,,,ne_ustanovlen,,,ne_ustanovlen,,False,False,['Josic Winery'],,,0
Jovac,jovac,Centralna Srbija,Rejon Tri Morave,Jagodinsko vinogorje,Jovac,mesto,,morave,kniga,"Jovac, Pomoravski okrug",True,True,"['Jovac', 'Vinarija Jovac']",,,6
Jović,jovic,Centralna Srbija,Knjaževački rejon,Potrkanjsko vinogorje,Потркање,mesto,,jugoistok,kniga,Потркање,True,True,"['Jović', 'Vinarija Jović']",,,16
K-ing,k-ing,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['K-ing'],,,1
Kalem,kalem,Centralna Srbija,Rejon Tri Morave,Trsteničko vinogorje,Velika Drenova,mesto,,,ne_ustanovlen,"Velika Drenova, Rasinski okrug",True,False,['Kalem'],,,23
Karić Vinarija,karic,Centralna Srbija,Pocersko Valjevski Rejon,Pocersko vinogorje,Varna,mesto,"по месту Pocersko Valjevski Rejon, у источников Sremski rejon ×3; Pocersko Valjevski Rejon ×2",,ne_ustanovlen,"Varna, Mačvanski okrug",True,False,"['Karić Vinarija', 'Karic Vinarija']",,,2
Katanic,katanic,Centralna Srbija,Šumadijski rejon,Kragujevačko vinogorje,Kamenica,mesto,,,ne_ustanovlen,"Kamenica, Šumadijski okrug",True,False,['Katanic'],,,5
Kepul,kepul,Vojvodina,Banatski rejon,Kikindsko vinogorje,Iđoš,mesto,,,ne_ustanovlen,"Iđoš, Severnobanatski okrug",True,False,['Kepul'],,,5
Kiš,kis,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Sremski Karlovci,mesto,,fruska,kniga,"Sremski Karlovci, Južno-bački okrug",True,True,"['Kiš', 'Vinarija Kiš doo', 'Vinarija Kis', 'Vinarija Kiš', 'Vinarjia Kis', 'Verus – Kis', 'Kis winery', 'Winery Kiš', 'Verus Kis', 'Verus', 'Kis']",,,19
Koreni,koreni,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Koreni'],,,1
Koreni 1934,koreni-1934,Centralna Srbija,Šumadijski rejon,Oplenačko vinogorje,Lipovac,mesto,,,ne_ustanovlen,"Lipovac, Šumadijski okrug",True,False,['Koreni 1934'],,,0
Kostić,kostic,Centralna Srbija,Toplički rejon,Prokupačko vinogorje,Prokuplje,mesto,,toplica,kniga,"Prokuplje, Toplički okrug",True,True,"['Kostić', 'Костић (Kostić)']",,,3
Kovačević,kovacevic,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Irig,mesto,,fruska,kniga,"Irig, Sremski okrug",True,True,"['Kovačević', 'D.o.o. Vinarija Kovacevic', 'Vinarija Kovačević D,O,O,', 'Vinarija Kovacevic', 'Vinarija Kovačević', 'Kovacevic']",vinarija-kovacevic,,43
Krstašica Doo,krstasica,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Irig,mesto,,,ne_ustanovlen,"Irig, Sremski okrug",True,False,"['Krstašica Doo', 'Krstašica doo', 'Krstašica']",,,5
Krug Vinarija,krug,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Krug Vinarija'],,,1
Kutinska Vinarija,kutinska,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Kutinska Vinarija'],,,2
Kuća Vina Jokić,kuca-jokic,Vojvodina,,,Sombor,ne_ustanovlen,рејон один из: Rejon Bačka; Rejon Telečka; Subotički rejon,,ne_ustanovlen,"Sombor, Zapadnobački okrug",True,False,['Kuća Vina Jokić'],,,0
Kuća Vina Popović,kuca-popovic,Centralna Srbija,Mlavski rejon,Požarevačko vinogorje,Krvije,mesto,,,ne_ustanovlen,"Krvije, Braničevski okrug",True,False,['Kuća Vina Popović'],,,2
La Gora,la-gora,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Irig,mesto,,,ne_ustanovlen,"золото Decanter 2026; в книге названа как «Vinarija Gora», район не указан",True,False,"['La Gora', 'La Gora winery']",,,1
La Grande Bellezza,la-grande-bellezza,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,,decanter,,,ne_ustanovlen,,True,False,['La Grande Bellezza'],,,0
Lagum,lagum,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Lagum'],,,6
Lakićević,lakicevic,Kosovo i Metohija,,,,ne_ustanovlen,,metohija,kniga,"Лепосавић, север Косова",True,True,"['Lakićević', 'Vinarija Lakićević', 'LAKICEVIC']",vinarija-lakicevic,,8
Langov Podrum,langov,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Inđija,mesto,,,ne_ustanovlen,"Inđija, Sremski okrug",True,False,"['Langov Podrum', 'Langov podrum']",,,1
Lastar,lastar,Centralna Srbija,Rejon Tri Morave,Levačko vinogorje,Rekovac,mesto,,morave,kniga,"Rekovac, Pomoravski okrug",True,True,"['Lastar', 'Vinarija Lastar']",,,13
Legat,legat,Centralna Srbija,Šumadijski rejon,Oplenačko vinogorje,Banja,mesto,,,raspolozhenie,"Banja, Aranđelovac",True,False,['Legat'],,,4
Lutak winery,lutak,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Чортановци,mesto,,,raspolozhenie,"Чортановци, Инђија",True,False,"['Lutak winery', 'Lutak']",,,0
M. Dubrana - N. Scheidt,m-dubrana-n-scheidt,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['M. Dubrana - N. Scheidt'],,,3
MV Vinarija,mv,Centralna Srbija,Rejon Tri Morave,,Сталаћ,mesto,,morave,raspolozhenie,"Сталаћ, Ћићевац",True,False,"['MV Vinarija', 'MV vinarija', 'MV Winery', 'Mv']",,,12
Majetić,majetic,,,,,ne_ustanovlen,,,ne_ustanovlen,Belgrade,True,False,['Majetić'],,,5
Mali Podrum Stamenković,mali-stamenkovic,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Mali Podrum Stamenković'],,,2
Mali Šareni Podrum,mali-sareni,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Mali Šareni Podrum'],,,3
Manastir Bukovo,bukovo,Centralna Srbija,Rejon Negotinska Krajina,Negotinsko vinogorje,Negotin,mesto,,negotin,kniga,"Negotin, Borski okrug",True,True,"['Manastir Bukovo', 'Vinarija manastira Bukovo', 'Винарија Манастира Буково', 'Manastir Bukovo Winery', 'Manastira Bukovo', 'Monastery Bukovo', 'Bukovo']",,,14
Manufaktura Spasić,manufaktura-spasic,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,,decanter,,,ne_ustanovlen,,True,False,"['Manufaktura Spasić', 'Manufaktura Spasic']",,,10
Marinković,marinkovic,Vojvodina,,,,ne_ustanovlen,рејон один из: Banatski rejon; Južnobanatski rejon,,ne_ustanovlen,,True,False,['Marinković'],,,3
Marko,marko,Centralna Srbija,Rejon Tri Morave,Trsteničko vinogorje,Ясиковица,mesto,,sumadija,kniga,Ясиковица,True,True,"['Marko', 'Vinarija Marko']",,,3
Marselan,marselan,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Marselan'],,,0
Matalj,matalj,Centralna Srbija,Rejon Negotinska Krajina,,,mesto,,negotin,kniga,"Negotinska Krajina, Borski okrug",True,True,"['Matalj', 'Matalj Vainarija', 'Matalj Vinarija', 'Matalj Vinery', 'Matalj Winery', 'Matalj winery']",,4,14
Matijašević Vinogradi,matijasevic,Centralna Srbija,Šumadijski rejon,Oplenačko vinogorje,Orašac,mesto,,sumadija,kniga,"Orašac, Šumadijski okrug",True,True,"['Matijašević Vinogradi', 'Matijasevic Vinogradi', 'Matijašević vinogradi', 'Matijasevic', 'Matijašević', 'Belina']",,,10
Maurer,maurer,Vojvodina,Subotički rejon,,,vivino,,subotica,kniga,"Hajdukovo, Severnobački okrug",True,True,"['Maurer', 'Vinarija Maurer']",,4,75
Max-Ex Doo,max-ex,Vojvodina,Subotički rejon,Palićko vinogorje,Subotica,mesto,,,ne_ustanovlen,"Subotica, Severnobački okrug",True,False,['Max-Ex Doo'],,,0
Mačkov podrum,mackov,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Irig,mesto,,fruska,kniga,"Irig, Sremski okrug",True,True,"['Mačkov podrum', 'Mackov Podrum', 'Mačkov Podrum']",,,11
