klyuch,hozyaistvo,vino,vivino_id,vivino_adres,vivino_status,etiketok,v_knige,est_u_kritikov,rejon,vinogorje,rejon_istochnik,cvet
aleksandrovic-rodoslov-reserve,Aleksandrović,Rodoslov Reserve,1646843,https://www.vivino.com/w/1646843,ocenka_est,163,True,True,Šumadijski rejon,Oplenačko vinogorje,konkurs,красное
aleksandrovic-sauvignon-blanc,Aleksandrović,Sauvignon Blanc,10754759,https://www.vivino.com/w/10754759,malo_ocenok,61,False,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,белое
aleksandrovic-tema-blend,Aleksandrović,Tema Blend,3033024,https://www.vivino.com/w/3033024,ocenka_est,2077,False,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,белое
aleksandrovic-tema-chardonnay,Aleksandrović,Tema Chardonnay,3066264,https://www.vivino.com/w/3066264,ocenka_est,119,False,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,белое
aleksandrovic-tema-selection,Aleksandrović,Tema Selection,2150193,https://www.vivino.com/w/2150193,ocenka_est,222,False,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,белое
aleksandrovic-trijuf-rose-sparkling,Aleksandrović,Trijuf Rose Sparkling,,,net_na_vivino,,False,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,
aleksandrovic-trijumf,Aleksandrović,Trijumf,,,net_na_vivino,,True,False,Šumadijski rejon,Oplenačko vinogorje,konkurs,белое
aleksandrovic-trijumf-barrique,Aleksandrović,Trijumf Barrique,2212996,https://www.vivino.com/w/2212996,ocenka_est,511,True,True,Šumadijski rejon,Oplenačko vinogorje,konkurs,белое
aleksandrovic-trijumf-chardonnay,Aleksandrović,Trijumf Chardonnay,,,net_na_vivino,,True,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,
aleksandrovic-trijumf-chardonnay-brut,Aleksandrović,Trijumf Chardonnay Brut,,,net_na_vivino,,True,True,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,
